Date,Price,Open,High,Low,Vol.,Change %
14-10-2024,"76,046","76,251","76,467","75,940",4.27,-0.34%
11-10-2024,"76,307","75,660","76,350","75,660",6.23,1.34%
10-10-2024,"75,297","75,070","75,413","74,757",4.9,0.48%
09-10-2024,"74,934","75,171","75,335","74,844",4.77,-0.30%
08-10-2024,"75,161","75,851","76,120","74,883",9.59,-1.16%
07-10-2024,"76,045","76,005","76,331","75,840",5.3,0.68%
04-10-2024,"75,530","75,649","75,833","75,275",0.04,0.01%
03-10-2024,"75,519","75,520","75,631","75,170",0.07,-0.19%
01-10-2024,"75,666","75,030","75,889","74,997",0.07,1.06%
30-09-2024,"74,869","75,374","75,649","74,660",0.6,0.01%
27-09-2024,"74,858","75,376","75,434","74,751",4.42,-0.70%
26-09-2024,"75,387","75,344","75,723","75,152",7.81,0.10%
25-09-2024,"75,313","75,101","76,000","75,000",5.24,0.41%
24-09-2024,"75,003","74,353","75,049","74,350",8.59,0.95%
23-09-2024,"74,295","74,205","74,417","73,983",8.39,0.34%
20-09-2024,"74,040","73,619","74,180","73,457",8.22,0.82%
19-09-2024,"73,438","72,930","73,620","72,785",9.09,0.52%
18-09-2024,"73,055","73,199","73,329","72,989",4.23,-0.05%
17-09-2024,"73,094","73,298","73,598","72,938",6.27,-0.55%
16-09-2024,"73,496","73,600","73,753","73,370",3.89,-0.03%
13-09-2024,"73,515","73,128","73,613","73,081",6.8,0.95%
12-09-2024,"72,824","71,918","72,880","71,870",9.84,1.25%
11-09-2024,"71,927","72,001","72,225","71,608",7.59,0.02%
10-09-2024,"71,913","71,695","71,999","71,580",5.12,0.40%
09-09-2024,"71,628","71,504","71,700","71,127",5.03,0.28%
06-09-2024,"71,426","71,961","72,235","71,220",10.41,-0.68%
05-09-2024,"71,917","71,481","72,120","71,406",7.92,0.63%
04-09-2024,"71,466","71,400","71,595","70,913",7.05,0.12%
03-09-2024,"71,381","71,629","71,765","71,001",7.43,-0.31%
02-09-2024,"71,601","71,512","71,800","71,426",2.9,-0.01%
30-08-2024,"71,611","71,900","72,199","71,521",7.88,-0.80%
29-08-2024,"72,188","71,880","72,249","71,700",7.88,0.62%
28-08-2024,"71,743","71,980","72,075","71,514",6.19,-0.53%
